text,risk_group,asset_type,question_type,question_group,relative_vul_group,value_type,question_number,root_risk,threat_type,perceived_threat,description,control_nist,
How likely is it that your organization does not enforce or monitor the adherence of its suppliers to security regulations and standards?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_49,VULNERABILITY,vul_4443,non-enforcement of security standards,,,,,
How likely is it that your organization could experience network disruptions due to inadequate network security infrastructure ?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_50,VULNERABILITY,vul_4444,inadequate network security infrastructure," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"This refers to a risk of network interruptions or failures because of poor network security infrastructure. An attacker might exploit this vulnerability to launch Denial of Service (DoS) attacks, effectively disrupting network services and causing system downtime. This could result in significant operational disruptions and potential financial loss.",,
"How likely is it that your organization could use outdated or weak encryption protocols (like WEP) , which can make a Wi-Fi network an easy target for attackers? ",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_51,VULNERABILITY,vul_4445,outdated or weak encryption protocols (like WEP)," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"This vulnerability refers to situations where your organization is using older or weaker encryption protocols for Wi-Fi networks, like WEP. Attackers can easily crack such protocols to snoop on network traffic, potentially gaining access to sensitive data or even taking over the network. This would not only result in data breaches but also lead to loss of control over critical systems.",,
"How likely is it that your organization could have inadequate network security infrastructure, which can lead network distruptions? ",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_52,VULNERABILITY,vul_4446,"inadequate network security infrastructure, which can lead network distruptions"," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"This refers to insufficient or poorly maintained network security measures. For example, lack of a properly configured firewall could be exploited by attackers to gain unauthorized access to the internal network and steal sensitive data or disrupt services. This would not only lead to the potential leakage of sensitive information but also the disruption of critical operations.",,
How likely is it that your organization could use default WI-FI passwords ?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_53,VULNERABILITY,vul_4447,default WI-FI passwords," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"This vulnerability arises when your organization continues to use the default passwords that come with Wi-Fi equipment. Since default passwords are well-known, attackers can easily use them to gain unauthorized access to your Wi-Fi network and launch attacks from within the network. This could lead to serious breaches as the attacker may gain access to sensitive data and critical systems.",,
How likely is it that your organization could use unsecure and open access guess network ?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_54,VULNERABILITY,vul_4448,unsecure and open access guess network," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"This refers to scenarios where your organization allows unsecured access to its networks, often via guest access. An attacker could join these open networks to eavesdrop on network traffic, manipulate data, or launch attacks against other devices connected to the same network. This can result in a range of security incidents, from data breaches to the spreading of malware across your network.",,
"How likely is it that your organization could use unencrypted or poorly encrypted Wi-Fi network which is vulnerable to man-in-the-middle attacks, where the attacker intercepts the data being sent between a user's device and the Wi-Fi router?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_55,VULNERABILITY,vul_4449,using  unencrypted or poorly encrypted Wi-Fi network which is vulnerable to man-in-the-middle attacks," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"This vulnerability refers to situations where your organization's Wi-Fi network is either unencrypted or poorly encrypted. This leaves it vulnerable to man-in-the-middle attacks, where the attacker intercepts the data being sent between a user's device and the Wi-Fi router. This would allow attackers to view and potentially steal sensitive information.",,
"How likely is it that your organization could refuse the implement monitoring, suspicious activity or unusual patterns of network traffic, which can go unnoticed, potentially allowing an attacker to gain access to the network and carry out malicious activities without being detected?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_56,VULNERABILITY,vul_4450,lack of monitoring suspicious activity for unusual patterns of network traffic," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,This vulnerability is present when your organization does not monitor suspicious activity or unusual patterns of network traffic. This could potentially allow an attacker to gain access to the network and carry out malicious activities without being detected. This would compromise the integrity of the network and may lead to serious security incidents without the organization being aware of them.,,
"How likely is it that service-level agreements (SLAs) are not properly established and enforced to ensure compliance with system information exchange requirements, introducing the risk of security or privacy violations?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_57,VULNERABILITY,vul_4451, improper establishment and enforcement of service-level agreement (SLA)  ,Supplier breach of contract or non-compliance breach,Supplier breach of contract due to inadequate service level agreements (SLAs) ," This vulnerability refers to situations where your organization hasn't adequately established or enforced service-level agreements (SLAs). These agreements should outline clear standards and protocols for system information exchange, which helps to maintain security and protect privacy.

If SLAs aren't properly managed, it can lead to misunderstandings about system information exchange requirements. For example, data might be exchanged without the necessary encryption or privacy measures, posing a risk of unauthorized access or misuse by both external and internal actors. This could lead to violations of security or privacy policies, and potentially serious incidents such as data breaches.",,
How likely is it that your organization could become dependent on a single SaaS provider without backup options?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_58,VULNERABILITY,vul_4452,single SaaS provider dependency,Cloud security breach,Cloud security breach,,,
How likely is it that your organization could lack contingency plans and data backup options for SaaS applications?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_59,VULNERABILITY,vul_4453,lack of contingency plans for SaaS applications,Cloud security breach,Cloud security breach,,,
How likely is it that your organization's cloud data encryption practices could be insufficient?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_60,VULNERABILITY,vul_4454,cloud data encryption practices insufficiency,Cloud security breach,Cloud security breach,,,
How likely is it that your organization's cloud access controls could be poorly managed?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_61,VULNERABILITY,vul_4455,poor cloud access controls management,Cloud security breach,Cloud security breach,,,
How likely is it that your organization's SaaS application programming interfaces (APIs) and integrations could be poorly managed?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_62,VULNERABILITY,vul_4456,poor management of saas apis and integrations,Cloud security breach,Cloud security breach,,,
"How likely is it that your organization's SaaS applications might have insufficient access controls and permission settings, potentially exposing sensitive data or functionalities?",Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_63,VULNERABILITY,vul_4457,insufficient SaaS access controls and permissions,Cloud security breach,Cloud security breach,,,
How likely is it that your organization's data encryption for data-at-rest and data-in-transit in SaaS applications could be insufficient?,Software Risk,SOFTWARE HOSTED on ORGANIZATION MACHINES,LIKELIHOOD,sw_hosted_group,sw_hosted_group_64,VULNERABILITY,vul_4458,ata encryption for data-at-rest and data-in-transit in saas insufficiency,Cloud security breach,Cloud security breach,,,
"How likely is it that non-enterprise users in the supply chain, using personal devices without adhering to your organization's security policies, could introduce malware or other malicious software into your enterprise network?",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group1,external_user_risk_vul_1,THREAT,threat_101,lack of security awareness among non-enterprise users and insufficient controls on devices used by non-organizational users in the supply chain.,Supplier breach of contract  ,Malware injection through non-enterprise users' electronic," When non-enterprise users, such as third-party vendors, access an organization's enterprise network through personal devices, there is a risk of introducing malware, viruses, or other malicious software. Personal devices may lack necessary security measures or protections and can serve as vectors for introducing threats into the network, potentially compromising sensitive data and disrupting operations.

This risk is further heightened if non-enterprise users are not mandated to adhere to the organization's security policies when accessing enterprise systems. Without proper adherence to security policies, personal devices may be inadequately protected against threats, making it easier for malware or malicious software to infiltrate the enterprise network.",IA (Identification and Authentication),
How large would be the potential impact if a non-enterprise user in the supply chain disrupts or damages enterprise systems or data through malicious intent or negligence?,User Risk,EXTERNAL USER,IMPACT,external_user_risk_group1,external_user_risk_vul_1,IMPACT,impact_101,potential consequences of lack of security awareness among non-enterprise users and insufficient controls on devices used by non-organizational users in the supply chain. ,Supplier breach of contract  ,Malware injection through non-enterprise users' electronic,,IA (Identification and Authentication),
"How likely is it that external developers or third-party vendors could access data or resources beyond their assigned permissions using the authentication software?
",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group2,external_user_risk_vul_2,THREAT,threat_101,unauthorized access to authentication software and potential exposure of sensitive information.,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data breach due to unauthorized access to authentication software,"When external developers or third-party vendors are given access to an organization's systems, it is crucial that their access is limited to only the data or resources necessary for their assigned tasks. Unauthorized access to sensitive data or resources can have severe consequences, including data breaches, unauthorized transactions, and other security incidents.

The risk of unauthorized access is heightened when external parties use authentication software to access the organization's systems. If the authentication software is not properly configured or managed, it could allow external parties to gain access to data or resources beyond their assigned permissions. This could happen due to software vulnerabilities, misconfigurations, or weaknesses in access controls.

Unauthorized access by external parties can expose an organization to a range of threats, including data theft, unauthorized changes to systems or data, and exploitation of vulnerabilities for malicious purposes. The consequences of such incidents can be severe, including financial losses, reputational damage, and legal or regulatory penalties.",IA (Identification and Authentication),
"How large would be the potential impact if unauthorized personnel, such as developers or third-party vendors, accessed the authentication software, leading to compromised credentials or other sensitive data?",User Risk,EXTERNAL USER,IMPACT,external_user_risk_group2,external_user_risk_vul_2,IMPACT,impact_101,potential consequences of unauthorized access to authentication software and potential exposure of sensitive information.,"Data breach, data loss incident",Data breach due to unauthorized access to authentication software,,IA (Identification and Authentication),
How likely is it that internal users could access supplier-related data beyond their designated roles and responsibilities?,User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group3,external_user_risk_vul_4,THREAT,threat_101,inadequate role-based access control policies and procedures,Data Privacy and Leakage Concerns,Inefficient access control and physical security," The risk of unauthorized access is heightened when external parties use authentication software to access the organization's systems. If the authentication software is not properly configured or managed, it could allow external parties to gain access to data or resources beyond their assigned permissions. This could happen due to software vulnerabilities, misconfigurations, or weaknesses in access controls.

Unauthorized access by external parties can expose an organization to a range of threats, including data theft, unauthorized changes to systems or data, and exploitation of vulnerabilities for malicious purposes. The consequences of such incidents can be severe, including financial losses, reputational damage, and legal or regulatory penalties.",AC (Access Control),
"How large would the potential impact be if unauthorized internal users accessed sensitive supplier-related data, leading to data leaks or misuse?",User Risk,EXTERNAL USER,IMPACT,external_user_risk_group3,external_user_risk_vul_4,IMPACT,impact_101,potential consequences of inadequate access control policies and procedures,Data breach or data loss ,Inefficient access control and physical security, ,AC (Access Control),
How likely is it that one contractor would gain unauthorized access to resources or data meant specifically for another contractor?,User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group4,external_user_risk_vul_6,THREAT,threat_101,unauthorized access to privileged accounts,Data breach,Inefficient account management," When multiple contractors have access to an organization's systems, it is important that their access is properly segmented to prevent unauthorized access to resources or data meant for another contractor. Contractors are often engaged to perform specific tasks and should only have access to the data or resources that are necessary for their assigned tasks. Any unauthorized access could expose sensitive information or enable unauthorized actions, potentially resulting in data breaches, misuse of resources, or even contractual breaches.

This risk may arise due to inadequate access controls, misconfigurations in the organization's systems, or deliberate attempts by contractors to access unauthorized resources or data. If not properly managed, this can lead to potential security incidents, legal or regulatory violations, and financial or reputational consequences for the organization.

The consequences of unauthorized access by one contractor to resources or data meant for another contractor can be serious. This could include unauthorized disclosure of proprietary or confidential information, fraudulent transactions, data manipulation, or even breaches of security or compliance regulations.",AC-2 Account Management ,
How large would the potential impact on the organization if one contractor gains unauthorized access to resources or data meant specifically for another contractor?,User Risk,EXTERNAL USER,IMPACT,external_user_risk_group4,external_user_risk_vul_6,IMPACT,impact_101,unauthorized access to privileged accounts,Data breach,Inefficient account management,none,AC-2 Account Management ,
How likely is it that contractors or suppliers might introduce unauthorized devices or software into your environment?,User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group5,"external_user_risk_vul_9,
external_user_risk_vul_10",THREAT,threat_101,ineffective supplier/contractor device management policies,Supplier breach of contract or non-compliance breach,Inefficient policy implementation for supplier/contractor device management,"This risk arises when contractors or suppliers use their own devices or software to interact with an organization's systems or data. Without proper auditing, detection mechanisms, and awareness programs, it becomes challenging for an organization to identify and manage unauthorized devices or software introduced by these external parties. As a result, the organization may become exposed to threats such as data breaches, malware infections, unauthorized access, and loss of sensitive information.

Unauthorized devices or software can have various consequences, including:

Data breaches: Unauthorized devices or software may not have proper security measures in place, making them vulnerable to attacks that can result in data breaches.
Malware infections: Unauthorized software could be infected with malware, which may spread throughout the organization's IT environment.
Unauthorized access: Unauthorized devices may be used to gain unauthorized access to the organization's systems or data.
Non-compliance: Use of unauthorized devices or software may result in non-compliance with industry regulations or organizational policies.",,
How likely is it that non-enterprise users in the supply chain are not mandated to adhere to your organization's security policies when accessing enterprise systems?,User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group,external_user_risk_vul_1,VULNERABILITY,vul_101,failure to adhere to security regulations and standards. ,Supplier breach of contract  ,Supplier breach of contract  ,"This vulnerability arises when users in the supply chain who are not part of the core enterprise access the company's systems from devices lacking proper security controls. Attackers can target these devices to infiltrate the enterprise system, potentially leading to data breaches or other malicious activities.",IA (Identification and Authentication),
"Considering the current policies, how likely is it that access controls could permit external developers or third-party vendors unintended access to the authentication software?",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group,external_user_risk_vul_2,VULNERABILITY,vul_101,weak access control for external users,"Data breach, data loss incident",Data breach,"In case authentication software has flaws, individuals who should not have access to certain systems (like developers or third-party vendors) could exploit these vulnerabilities to gain unauthorized access. This could lead to unauthorized activities, including data theft or manipulation.",IA (Identification and Authentication),
"How likely is it that your role-based access control systems are ineffective, causing improper access permissions and increasing the risk of security breaches?",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group,external_user_risk_vul_4,VULNERABILITY,vul_201,ineffective role-based access control (RBAC) systems,Data breach or data loss ,Inefficient access control and physical security,"If your organization doesn't properly manage user permissions based on their roles, a lower-level employee might end up with access rights to sensitive data. They could misuse this access for personal gain, or it might be exploited if their account is compromised.",AC (Access Control),
"Considering the existing policies on contractor data segregation, how likely is it that your organization's policy might inadvertently allow a contractor to access resources or data designated for a different contractor?",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group,external_user_risk_vul_6,VULNERABILITY,vul_101,inadequate oversight mechanisms for privileged contractor accounts,Data breach,Inefficient account management,"If privileged contractor accounts aren't closely monitored, a dishonest contractor could misuse their access to steal sensitive data or a terminated contractor's account could be exploited by malicious actors.",AC-2 Account Management ,
"Considering the existing policies, how likely is it that your organization's policy might inadvertently allow a contractor to introduce unauthorized devices or software into your environment?",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group,external_user_risk_vul_9,VULNERABILITY,vul_301,insufficient policy implementation for supplier/contractor technologies,Supplier breach of contract or non-compliance breach,Inefficient policy implementation for supplier/contractor device management,,,
"How likely is it that your organization neglects to provide training or awareness programs tailored for contractors and suppliers, educating them on the importance of using authorized devices and software?",User Risk,EXTERNAL USER,LIKELIHOOD,external_user_risk_group,external_user_risk_vul_10,VULNERABILITY,vul_303,insufficient contractor/supplier training,Supplier breach of contract or non-compliance breach,Inefficient policy implementation for supplier/contractor device management,,,
"How likely is it that a cyber actor would exploit IoT devices in your supply chain, specifically those used for communication or data transfer with suppliers, without requiring physical access?",Hardware Risk,IoT,LIKELIHOOD,IoT_group_1,"IoT_group_vul_1,IoT_group_vul_2,IoT_group_vul_3,IoT_group_vul_4,IoT_group_vul_7,IoT_group_vul_8,IoT_group_vul_9,IoT,IoT_group_vul_11,IoT_group_vul_13,IoT_group_vul_16",THREAT,threat_101,weak IoT device secuirty ,"Data breach, data loss incident, IoT data disclosure",Supply chain IoT vulnerability,"The risk of remote exploitation of IoT devices in your supply chain arises from vulnerabilities in the security posture of these devices. These vulnerabilities may include weak authentication methods, unpatched software, and insecure data transmission protocols.

Weak or default passwords on IoT devices can allow cyber actors to gain unauthorized access to the devices and their associated data. Once an attacker has access to an IoT device, they can potentially intercept and alter data being transmitted, disrupting the supply chain or causing erroneous decisions based on tampered data.

Unpatched vulnerabilities in IoT device software can be exploited by cyber actors to remotely control the devices, extract sensitive information, or launch attacks on other systems in your network. As IoT devices are often interconnected, a compromise of one device can have cascading effects on other devices and systems.

Insecure data transmission protocols can expose data to eavesdropping and man-in-the-middle attacks, where attackers can intercept and modify data in transit between IoT devices and other systems. This can lead to unauthorized access to sensitive information and manipulation of data.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"If a cyber actor successfully exploits IoT devices in your supply chain without requiring physical access, how significant would the potential impact be on your organization's ability to operate securely and maintain supplier relationships?",Hardware Risk,IoT,IMPACT,IoT_group_1,"IoT_group_vul_1,IoT_group_vul_2,IoT_group_vul_3,IoT_group_vul_4,IoT_group_vul_7,IoT_group_vul_8,IoT_group_vul_9,IoT,IoT_group_vul_11,IoT_group_vul_13,IoT_group_vul_16",IMPACT,impact_101,potential consequences of weak IoT device secuirty ,"Data breach, data loss incident, IoT data disclosure",Supply chain IoT vulnerability,,M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that a cyber actor would physically exploit IoT devices used for employee authorization or supplier verification in your supply chain (e.g., fingerprint readers or card readers used for granting access to specific supplier-related data or locations)?",Hardware Risk,IoT,LIKELIHOOD,IoT_group_2,"IoT_group_vul_1,IoT_group_vul_4,IoT_group_vul_9,IoT_group_vul_10,IoT_group_vul_11 ",THREAT,threat_101,physical access to the IoT devices which are used for employee authorization,Unauthorized access right usage of IoT devices ,IoT access control vulnerabilities,"The risk of physical exploitation of IoT devices used for employee authorization or supplier verification in your supply chain arises from vulnerabilities associated with the devices themselves and the processes around their use. IoT devices such as fingerprint readers or card readers are commonly used to grant access to specific supplier-related data or locations. If these devices are physically exploited, unauthorized individuals may gain access to sensitive information or restricted areas.

Physical exploitation can occur in several ways. Cyber actors may tamper with the devices to bypass authentication mechanisms, spoof credentials to trick the devices into granting access, or install malicious hardware or software to intercept and manipulate data. For example, an attacker may place a skimming device on a card reader to capture card data, use fake fingerprints to bypass a fingerprint reader, or install malware on the device to gain unauthorized access to the connected systems.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"If a cyber actor physically successfully exploits IoT devices used for employee authorization or supplier verification in your supply chain, how significant would the potential impact be on your organization's ability to operate securely and maintain integrity in supplier relationships?",Hardware Risk,IoT,IMPACT,IoT_group_2,"IoT_group_vul_1,IoT_group_vul_4,IoT_group_vul_9,IoT_group_vul_10,IoT_group_vul_11 ",IMPACT,impact_101,potential consequences of unauthorized physical access to the IoT devices which are used for employee authorization,Unauthorized access right usage of IoT devices ,IoT access control vulnerabilities,,M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that a cyber actor could gain physical access to IoT devices in your supply chain, potentially tampering or sabotaging targeted devices to disrupt supplier interactions or compromise security?",Hardware Risk,IoT,LIKELIHOOD,IoT_group_3,IoT_group_vul_10,THREAT,threat_101,unsecure IoT devices,Physical IoT tampering risk,"Tampering, sabotage with IoT devices or systems","Unpatched vulnerabilities in IoT device software can be exploited by cyber actors to remotely control the devices, extract sensitive information, or launch attacks on other systems in your network. As IoT devices are often interconnected, a compromise of one device can have cascading effects on other devices and systems.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"If a cyber actor successfully exploits IoT vulnerabilities in your supply chain via physical access, how significant would the potential impact be on your organization's ability to operate securely and maintain supplier relationships?",Hardware Risk,IoT,IMPACT,IoT_group_3,IoT_group_vul_10,IMPACT,impact_101,potential consequences of unsecure IoT devices,Physical IoT tampering risk,"Tampering, sabotage with IoT devices or systems",,M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that a cyber actor could compromise IoT devices which are used for tracking goods in your supply chain, potentially leading to inaccurate data or loss of visibility?",Hardware Risk,IoT,LIKELIHOOD,IoT_group_4,"IoT_group_vul_1,IoT_group_vul_2,IoT_group_vul_3,IoT_group_vul_4,IoT_group_vul_7,IoT_group_vul_8,IoT_group_vul_9,IoT_group_vul_10,IoT_group_vul_11,IoT_group_vul_12,IoT_group_vul_13,IoT_group_vul_14,IoT_group_vul_15,IoT_group_vul_16,IoT_group_vul_17",THREAT,threat_101,weak IoT device secuirty ,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",IoT data disclosure,"Insecure data transmission protocols can expose data to eavesdropping and man-in-the-middle attacks, where attackers can intercept and modify data in transit between IoT devices and other systems. This can lead to unauthorized access to sensitive information and manipulation of data.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"If a cyber actor successfully compromises IoT devices which are used for tracking goods in your supply chain, what would be the potential impact on your organization's ability to manage its supply chain effectively?",Hardware Risk,IoT,IMPACT,IoT_group_4,"IoT_group_vul_1,IoT_group_vul_2,IoT_group_vul_3,IoT_group_vul_4,IoT_group_vul_7,IoT_group_vul_8,IoT_group_vul_9,IoT_group_vul_10,IoT_group_vul_11,IoT_group_vul_12,IoT_group_vul_13,IoT_group_vul_14,IoT_group_vul_15,IoT_group_vul_16,IoT_group_vul_17",IMPACT,impact_103,inadequate IoT device security,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",IoT data disclosure,,M (Configuration Managementn) and (Access Control)  (IoT) ,
How likely is it that your organization's security controls would fail to detect malicious components in IoT devices provided by suppliers?,Hardware Risk,IoT,LIKELIHOOD,IoT_group_9, IoT_group_vul_12,THREAT,threat_101,insufficient device security inspection,Malicious IoT component,Malicious IoT component detection failure,,,
"If your organization were unable to detect malicious components in supplied IoT devices, how significant would the potential impact be on your operations and security posture?",Hardware Risk,IoT,IMPACT,IoT_group_9, IoT_group_vul_12,IMPACT,impact_113,potential consequences of insufficient device security inspection,Malicious IoT component,Malicious IoT component detection failure,,,
How likely is it that your organization could fail to identify counterfeit IoT devices from suppliers?,Hardware Risk,IoT,LIKELIHOOD,IoT_group_10, IoT_group_vul_12,THREAT,threat_101,inadequate supplier product verification,Counterfeit IoT risk,Counterfeited IoT component detection failure,,,
"If your organization were to unknowingly utilize counterfeit IoT devices, how significant would the potential impact be on the operational efficiency, security posture, and the reputation of your organization?",Hardware Risk,IoT,IMPACT,IoT_group_10, IoT_group_vul_12,IMPACT,impact_115,potential consequences of inadequate supplier product verification,Counterfeit IoT risk,Counterfeited IoT component detection failure,,,
"How likely is it that an attacker could exploit known vulnerabilities in a hardware product used in your supply chain processes, assuming the attacker requires physical access?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_0,"hardware_group_vul_1,hardware_group_vul_2, hardware_group_vul_4, hardware_group_vul_5, hardware_group_vul_6, hardware_group_vul_7, hardware_group_vul_22",THREAT,threat_101,known hardware vulnerabilities,"Data breach, data loss incident, hardware tampering or sabotage ",Data or supply chain breach,"The risk of an attacker physically exploiting known vulnerabilities in a hardware product used in your supply chain processes arises from the potential for unauthorized access, manipulation, or damage to the hardware and associated systems. This risk is particularly concerning when the attacker requires physical access to the hardware, as it implies proximity and a higher likelihood of targeted attacks.

Physical exploitation of known vulnerabilities can occur when an attacker gains access to a hardware product and exploits vulnerabilities such as weak physical security, unpatched firmware, or insecure interfaces. For example, an attacker may exploit a vulnerability in a USB port to inject malicious code, tamper with a device's firmware to install backdoors, or bypass physical access controls to alter device settings.",CM (Configuration Managementn),
"If an attacker gains physical access to a hardware product used in your supply chain processes (production and delivery) with known vulnerabilities,  how significant would the potential impact be on the organization's security posture?",Hardware Risk,COMPANY HARDWARE,IMPACT,hardware_group_0,"hardware_group_vul_1,hardware_group_vul_2, hardware_group_vul_4, hardware_group_vul_5, hardware_group_vul_6, hardware_group_vul_7, hardware_group_vul_22",IMPACT,impact_101,potential consequences of weak access policies and unpatched hardware vulnerabilities ,"Data breach, data loss incident, hardware tampering or sabotage ",Data or supply chain breach, ,CM (Configuration Managementn),
How likely is it that hardware components sourced from suppliers for assembling or manufacturing your final products could undergo unauthorized changes that go undetected during the supply process?,Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_2,hardware_group_vul_16,THREAT,threat_101,inability to track changes made to supply chain hardware,Data or Supply Chain Breach,Undetected hardware tampering," The risk of unauthorized changes to hardware components sourced from suppliers arises when modifications, alterations, or tampering occurs during the supply process, which may go undetected. These unauthorized changes can be introduced by various actors, including malicious suppliers, subcontractors, or individuals with physical access to the components. The changes can range from altering firmware or hardware configurations to embedding malicious hardware implants.

Undetected unauthorized changes pose serious risks for organizations. They can compromise the integrity of the final product, leading to performance issues, functional errors, or reduced product reliability. These changes can also introduce vulnerabilities or backdoors that can be exploited by attackers to gain unauthorized access, steal sensitive information, or disrupt operations.",EVENT LOGGING (Hardware)   ,
How significant would the potential impact be on your organization if hardware components sourced from suppliers for product assembly or manufacturing underwent unauthorized changes that would go undetected during the supply process?,Hardware Risk,COMPANY HARDWARE,IMPACT,hardware_group_2,hardware_group_vul_16,IMPACT,impact_101,Inability to track changes made to hardware,Data or Supply Chain Breach,Undetected hardware tampering, ,EVENT LOGGING (Hardware)   ,
"How likely is it that your organization could fail to verify the origin of supplied hardware components, which might result in the introduction of malicious hardware into your system, either intentionally or unintentionally?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_4,"hardware_group_vul_8,hardware_group_vul_14,hardware_group_vul_23",THREAT,threat_101,unauthorized third-party components in organizational infrastructure,Security breaches or supply chain distruption," Counterfeit, malicious or substandard components"," The risk of failing to verify the origin of supplied hardware components is a significant concern for organizations, as it can lead to the introduction of malicious or compromised hardware into your system. Malicious hardware can include counterfeit components, components with embedded hardware backdoors or tampering, or components from suppliers with a history of poor security practices.
",NON-REPUDIATION (Hardware),
How significant would the potential impact be on your organization if your vendors introduce malicious hardware components into your system?,Hardware Risk,COMPANY HARDWARE,IMPACT,hardware_group_4,"hardware_group_vul_8,hardware_group_vul_14,hardware_group_vul_23",IMPACT,impact_101,Unauthorized third-party components in organizational infrastructure,Security breaches or supply chain distruption," Counterfeit, malicious or substandard components", ,NON-REPUDIATION (Hardware),
"How likely is it that replacement parts or hardware upgrades for your supply chain equipment could be obtained from unauthorized sources, potentially compromising the security or integrity of your organization's operations?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_5,"hardware_group_vul_7,hardware_group_vul_14",THREAT,threat_101,Obtaining patch or maintenance upgrades for hardware from unauthorized sources,Security breaches or operational failures,"Data breach, data loss incident, IoT data disclosure, or visual information leakage"," When organizations source replacement parts or hardware upgrades for their supply chain equipment from unauthorized sources, they expose themselves to a variety of risks that can compromise the security or integrity of their operations. Unauthorized sources may include non-certified suppliers, unvetted third parties, or even counterfeit or grey market vendors. These sources may not adhere to industry standards, quality assurance processes, or security practices, increasing the likelihood of introducing compromised or substandard components into the organization's supply chain equipment.",AU-10 NON-REPUDIATION ,
"How significant would the potential impact be on your organization if replacement parts or hardware upgrades for your supply chain equipment were obtained from unauthorized sources, potentially compromising the security or integrity of your organization's operations?",Hardware Risk,COMPANY HARDWARE,IMPACT,hardware_group_5,"hardware_group_vul_7,hardware_group_vul_14",IMPACT,impact_101,Obtaining patch or maintenance upgrades for hardware from unauthorized sources,Security breaches or operational failures,"Data breach, data loss incident, IoT data disclosure, or visual information leakage", ,AU-10 NON-REPUDIATION ,
